pygame 1.9.4
Hello from the pygame community. https://www.pygame.org/contribute.html
couldn't import doomish
Couldn't import doom
Beginning Training...
         673055 function calls (658794 primitive calls) in 39.166 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.010    0.010 cookies.py:127(<module>)
        1    0.000    0.000    0.009    0.009 main.py:1(<module>)
      209    0.003    0.000    0.009    0.000 Image.py:711(tobytes)
        1    0.002    0.002    0.009    0.009 packages.py:1(<module>)
        1    0.000    0.000    0.009    0.009 header.py:5(<module>)
       76    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
        1    0.000    0.000    0.009    0.009 __init__.py:97(<module>)
     7055    0.009    0.000    0.009    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       61    0.000    0.000    0.009    0.000 pyparsing.py:3251(<listcomp>)
       14    0.009    0.001    0.009    0.001 {built-in method pygame.imageext.load_extended}
      282    0.003    0.000    0.009    0.000 function_base.py:3895(add_newdoc)
     8195    0.009    0.000    0.009    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.008    0.008 inspect.py:27(<module>)
     7406    0.008    0.000    0.008    0.000 {method 'values' of 'collections.OrderedDict' objects}
      158    0.001    0.000    0.008    0.000 __init__.py:1398(has_metadata)
      204    0.001    0.000    0.008    0.000 DQNAgent.py:237(set_eps)
        1    0.000    0.000    0.008    0.008 tokenize.py:21(<module>)
        1    0.000    0.000    0.008    0.008 fakedata.py:1(<module>)
      184    0.002    0.000    0.008    0.000 DQNAgent.py:99(get_action)
     2150    0.005    0.000    0.008    0.000 {built-in method builtins.any}
      107    0.000    0.000    0.008    0.000 linecache.py:15(getline)
     1356    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap>:78(acquire)
     1426    0.005    0.000    0.008    0.000 __init__.py:1966(dist_factory)
        1    0.000    0.000    0.008    0.008 sjisprober.py:28(<module>)
      672    0.008    0.000    0.008    0.000 {method 't' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.008    0.008 defmatrix.py:1(<module>)
        1    0.000    0.000    0.008    0.008 DQNAgent.py:169(__init__)
      582    0.004    0.000    0.008    0.000 posixpath.py:75(join)
      377    0.008    0.000    0.008    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     7874    0.008    0.000    0.008    0.000 {method 'getrandbits' of '_random.Random' objects}
       25    0.000    0.000    0.008    0.000 pyparsing.py:1227(setParseAction)
        1    0.000    0.000    0.008    0.008 pickle.py:24(<module>)
        1    0.000    0.000    0.008    0.008 sysfont.py:21(<module>)
        2    0.000    0.000    0.008    0.004 pyparsing.py:4722(srange)
      107    0.000    0.000    0.008    0.000 linecache.py:37(getlines)
       27    0.001    0.000    0.007    0.000 pyparsing.py:1016(_trim_arity)
        1    0.000    0.000    0.007    0.007 kl.py:1(<module>)
        5    0.000    0.000    0.007    0.001 warnings.py:119(filterwarnings)
        1    0.001    0.001    0.007    0.007 numerictypes.py:81(<module>)
        1    0.000    0.000    0.007    0.007 __init__.py:24(<module>)
        1    0.007    0.007    0.007    0.007 {built-in method posix.read}
       25    0.000    0.000    0.007    0.000 linecache.py:82(updatecache)
        1    0.001    0.001    0.007    0.007 writer.py:243(__init__)
        1    0.000    0.000    0.007    0.007 pytorch_graph.py:1(<module>)
      144    0.001    0.000    0.007    0.000 traceback.py:283(line)
     5911    0.007    0.000    0.007    0.000 {method 'rpartition' of 'str' objects}
      654    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
      9/5    0.000    0.000    0.007    0.001 __init__.py:2147(declare_namespace)
     5132    0.007    0.000    0.007    0.000 utils.py:61(__init__)
      204    0.001    0.000    0.007    0.000 fromnumeric.py:2227(amax)
     1044    0.007    0.000    0.007    0.000 {method 'to' of 'torch._C._TensorBase' objects}
      524    0.005    0.000    0.007    0.000 version.py:343(_cmpkey)
       43    0.003    0.000    0.007    0.000 auto.py:107(_make_function_class)
     1356    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.007    0.007 lsun.py:1(<module>)
       26    0.000    0.000    0.007    0.000 pyparsing.py:1024(extract_stack)
      232    0.001    0.000    0.007    0.000 genericpath.py:39(isdir)
        2    0.000    0.000    0.007    0.003 transforms.py:1(<module>)
      232    0.002    0.000    0.007    0.000 __init__.py:677(add)
